,index,Month,Day,Year,Updated,Hour,Variable
0,1,September,18,2022,Updated,7:00 pm,Coinbase Cryptocurrencies
1,2,September,18,2022,Updated,Unspecified,FOMC Press Release
2,1,September,19,2022,Updated,7:00 am,SOFR Averages and Index Data
3,2,September,19,2022,Updated,7:00 am,Secured Overnight Financing Rate Data
4,3,September,19,2022,Updated,8:00 am,Federal Funds Data
5,4,September,19,2022,Updated,8:00 am,Overnight Bank Funding Rate Data
6,5,September,19,2022,Updated,10:15 am,Moody's Daily Corporate Bond Yield Averages
7,6,September,19,2022,Updated,12:00 pm,Commercial Paper
8,7,September,19,2022,Updated,3:15 pm,H.15 Selected Interest Rates
9,8,September,19,2022,Updated,3:15 pm,H.10 Foreign Exchange Rates
10,9,September,19,2022,Updated,3:15 pm,G.5 Foreign Exchange Rates
11,10,September,19,2022,Updated,3:30 pm,Interest Rate on Reserve Balances
12,11,September,19,2022,Updated,7:00 pm,Coinbase Cryptocurrencies
13,12,September,19,2022,Updated,Unspecified,International Financial Statistics
14,13,September,19,2022,Updated,Unspecified,Interest Rate Spreads
15,14,September,19,2022,Updated,Unspecified,Recession Indicators Series
16,15,September,19,2022,Updated,Unspecified,Credit to Non-Financial Sector
17,16,September,19,2022,Updated,Unspecified,Pandemic Claims Weekly Report
18,17,September,19,2022,Updated,Unspecified,Daily Treasury Inflation-Indexed Securities
19,18,September,19,2022,Updated,Unspecified,National Rates and Rate Caps - Monthly Update
20,19,September,19,2022,Updated,Unspecified,State Unemployment Insurance Weekly Claims Report
21,20,September,19,2022,Updated,Unspecified,Temporary Open Market Operations
22,21,September,19,2022,Updated,Unspecified,Gasoline and Diesel Fuel Update
23,22,September,19,2022,Updated,Unspecified,Debt Securities Statistics
24,23,September,19,2022,Updated,Unspecified,Historical Overnight AMERIBOR Unsecured Interest Rate
25,24,September,19,2022,Updated,Unspecified,FOMC Press Release
26,25,September,19,2022,Updated,Unspecified,Dow Jones Averages
27,26,September,19,2022,Updated,Unspecified,Key ECB Interest Rates
28,27,September,19,2022,Updated,Unspecified,Standard & Poors
29,28,September,19,2022,Updated,Unspecified,ICE BofA Indices
30,29,September,19,2022,Updated,Unspecified,CBOE Market Statistics
